epoch,trainingpercent,testpercent
0,0.9387666666666666,0.9393
1,0.9602666666666667,0.9577
2,0.9688333333333333,0.9645
3,0.97295,0.9694
4,0.9758166666666667,0.9715
5,0.9781333333333333,0.9727
6,0.9797833333333333,0.9737
7,0.9812333333333333,0.9736
8,0.9823,0.9748
9,0.9833,0.9758
10,0.9842333333333333,0.9765
11,0.985,0.977
12,0.9859166666666667,0.9776
13,0.9865,0.9774
14,0.9870666666666666,0.9775
15,0.9878,0.9774
16,0.9882,0.9775
17,0.9886666666666667,0.9775
18,0.9890666666666666,0.9773
19,0.98945,0.9776
20,0.98985,0.9778
21,0.9902833333333333,0.9779
22,0.9906166666666667,0.9776
23,0.9908666666666667,0.978
24,0.9912666666666666,0.9781
25,0.9915666666666667,0.978
26,0.9918166666666667,0.978
27,0.9920833333333333,0.9777
28,0.99225,0.9774
29,0.9924166666666666,0.9774
30,0.9926,0.9774
31,0.9928333333333333,0.9773
32,0.9929833333333333,0.9773
33,0.9930666666666667,0.9774
34,0.9931666666666666,0.9775
35,0.9932666666666666,0.9773
36,0.9934833333333334,0.9774
37,0.9936,0.9771
38,0.9936833333333334,0.9771
39,0.9937833333333334,0.977
40,0.9938833333333333,0.9771
41,0.99405,0.9772
42,0.99415,0.9771
43,0.9942666666666666,0.9772
44,0.9943666666666666,0.9774
45,0.9945333333333334,0.9774
46,0.99455,0.9774
47,0.9946166666666667,0.9773
48,0.9947,0.9771
49,0.9947,0.9771
