epoch,trainingpercent,testpercent
0,0.9601833333333334,0.9541
1,0.9679,0.9587
2,0.9745166666666667,0.9631
3,0.9771333333333333,0.9653
4,0.9807166666666667,0.9688
5,0.9825333333333334,0.9705
6,0.9836166666666667,0.9708
7,0.9844833333333334,0.9705
8,0.9845833333333334,0.9694
9,0.9855166666666667,0.9696
10,0.9861666666666666,0.9692
11,0.98745,0.9694
12,0.9876833333333334,0.9688
13,0.98805,0.9681
14,0.9886333333333334,0.969
15,0.9887833333333333,0.969
16,0.9892666666666666,0.9686
17,0.9894666666666667,0.9688
18,0.9894,0.9681
19,0.9897833333333333,0.9683
20,0.99055,0.9688
21,0.9906166666666667,0.9679
22,0.9908,0.9676
23,0.9904666666666667,0.9679
24,0.9906333333333334,0.9678
25,0.9906666666666667,0.9676
26,0.9906833333333334,0.9678
27,0.9907166666666667,0.9677
28,0.9913,0.9675
29,0.9914166666666666,0.9677
30,0.9916666666666667,0.9683
31,0.9919166666666667,0.9677
32,0.99165,0.9659
33,0.9917666666666667,0.9662
34,0.9920166666666667,0.9654
35,0.9922333333333333,0.9655
36,0.9921166666666666,0.9665
37,0.9923333333333333,0.9667
38,0.99245,0.9665
39,0.9924833333333334,0.9665
40,0.9927833333333334,0.9667
41,0.9928333333333333,0.9659
42,0.9929,0.9657
43,0.9930333333333333,0.9654
44,0.9933,0.9654
45,0.9932666666666666,0.9651
46,0.9933333333333333,0.9656
47,0.9935,0.9658
48,0.9935166666666667,0.966
49,0.9933666666666666,0.9654
