epoch,trainingpercent,testpercent
0,0.9055833333333333,0.9062
1,0.9177833333333333,0.9158
2,0.9270833333333334,0.9228
3,0.9352,0.9279
4,0.93655,0.927
5,0.9364,0.929
6,0.9312833333333334,0.9259
7,0.9383333333333334,0.9272
8,0.9384833333333333,0.929
9,0.9393,0.928
10,0.9400333333333334,0.9293
11,0.9393666666666667,0.9303
12,0.9395166666666667,0.9287
13,0.9406833333333333,0.93
14,0.9420333333333333,0.9313
15,0.9405333333333333,0.9315
16,0.9432,0.9326
17,0.94135,0.9297
18,0.9443666666666667,0.9325
19,0.9435166666666667,0.9309
20,0.9436833333333333,0.9325
21,0.9451666666666667,0.9328
22,0.945,0.9322
23,0.94495,0.9315
24,0.9443333333333334,0.9325
25,0.9432166666666667,0.931
26,0.9470333333333333,0.9318
27,0.9460833333333334,0.9323
28,0.9472,0.9317
29,0.94715,0.9319
30,0.9401,0.926
31,0.9461166666666667,0.9314
32,0.9423666666666667,0.9299
33,0.9460333333333333,0.9316
34,0.9454166666666667,0.9307
35,0.9432333333333334,0.9284
36,0.9473166666666667,0.9328
37,0.9472,0.9334
38,0.94855,0.9338
39,0.9488666666666666,0.9337
40,0.9465166666666667,0.931
41,0.9490666666666666,0.9345
42,0.9473333333333334,0.9329
43,0.9472,0.9323
44,0.9485333333333333,0.9328
45,0.9473166666666667,0.9312
46,0.9479666666666666,0.9322
47,0.9468833333333333,0.932
48,0.9472,0.9317
49,0.9480333333333333,0.9305
50 hidden units
