epoch,trainingpercent,testpercent
0,0.95505,0.9526
1,0.96655,0.9611
2,0.9721333333333333,0.9641
3,0.9772833333333333,0.9682
4,0.9786166666666667,0.9686
5,0.9799333333333333,0.9678
6,0.9812666666666666,0.9673
7,0.9833833333333334,0.9687
8,0.9840333333333333,0.9681
9,0.9838166666666667,0.9668
10,0.9842166666666666,0.9671
11,0.9852833333333333,0.967
12,0.9872,0.9668
13,0.9874,0.9672
14,0.9864333333333334,0.9669
15,0.9866,0.967
16,0.98695,0.9663
17,0.98765,0.967
18,0.9879833333333333,0.9657
19,0.98845,0.9654
20,0.9888833333333333,0.9649
21,0.9892,0.9646
22,0.9895333333333334,0.964
23,0.9893333333333333,0.9637
24,0.9896166666666667,0.965
25,0.9895166666666667,0.9642
26,0.9900333333333333,0.9636
27,0.98995,0.9646
28,0.9902833333333333,0.9645
29,0.9906,0.9649
30,0.9908,0.965
31,0.9906333333333334,0.9642
32,0.991,0.9641
33,0.9913833333333333,0.9641
34,0.99115,0.9635
35,0.99155,0.9644
36,0.9916833333333334,0.9639
37,0.99195,0.9647
38,0.9910833333333333,0.9628
39,0.99185,0.9639
40,0.99225,0.9638
41,0.9919333333333333,0.963
42,0.992,0.963
43,0.9922333333333333,0.9627
44,0.9924833333333334,0.9632
45,0.9922833333333333,0.963
46,0.9925,0.9634
47,0.9928333333333333,0.9631
48,0.99285,0.9624
49,0.99295,0.9627

