epoch,trainingpercent,testpercent
0,0.9533666666666667,0.9527
1,0.9690333333333333,0.9657
2,0.976,0.9699
3,0.9793166666666666,0.9705
4,0.98125,0.9715
5,0.9830166666666666,0.9726
6,0.9845166666666667,0.9736
7,0.9856833333333334,0.9741
8,0.9866333333333334,0.9738
9,0.9874333333333334,0.9735
10,0.9881833333333333,0.9735
11,0.9888166666666667,0.9735
12,0.9893833333333333,0.9738
13,0.9900166666666667,0.9742
14,0.9904666666666667,0.9742
15,0.9909,0.9741
16,0.9913166666666666,0.9743
17,0.9915833333333334,0.9743
18,0.9920166666666667,0.9742
19,0.9922833333333333,0.9745
20,0.9925333333333334,0.9745
21,0.9927166666666667,0.9745
22,0.99285,0.9742
23,0.9930166666666667,0.974
24,0.9931333333333333,0.9742
25,0.9934333333333333,0.9743
26,0.9935833333333334,0.974
27,0.9937666666666667,0.9735
28,0.9938833333333333,0.9731
29,0.9940333333333333,0.9729
30,0.9941333333333333,0.9731
31,0.9942666666666666,0.9732
32,0.9944,0.9729
33,0.9945333333333334,0.9728
34,0.9946333333333334,0.9726
35,0.9947,0.9727
36,0.9947666666666667,0.9728
37,0.9948666666666667,0.9728
38,0.9949666666666667,0.9728
39,0.9949666666666667,0.9728
40,0.9950666666666667,0.9728
41,0.9951333333333333,0.9729
42,0.99515,0.9728
43,0.9952666666666666,0.9726
44,0.9953,0.9725
45,0.9953333333333333,0.9724
46,0.9954333333333333,0.9724
47,0.9955166666666667,0.9724
48,0.9955833333333334,0.9726
49,0.9957,0.9725
